date,Barbie,Oppenheimer
2023-07-05,10,2
2023-07-06,14,6
2023-07-07,20,8
2023-07-08,21,7
2023-07-09,20,15
2023-07-10,21,16
2023-07-11,21,13
2023-07-12,22,18
2023-07-13,24,13
2023-07-14,30,22
2023-07-15,31,39
2023-07-16,34,20
2023-07-17,41,28
2023-07-18,58,37
2023-07-19,87,43
2023-07-20,136,105
2023-07-21,156,101
2023-07-22,188,155
2023-07-23,199,141
2023-07-24,170,143
2023-07-25,151,102
2023-07-26,160,96
2023-07-27,150,86
2023-07-28,151,92
2023-07-29,155,109
2023-07-30,147,108
2023-07-31,103,80
2023-08-01,89,79
